English,Vietnamese
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 167 trẻ sơ sinh dưới 32 tuần tuổi thai hoặc cân nặng lúc sinh dưới 1500g được khám mắt tại Bệnh viện Nhi Trung ương từ tháng 7/2021 đến tháng 7/2022.
,"Kết quả: Tỷ lệ mắc bệnh võng mạc ở trẻ non tháng dưới 32 tuần tuổi thai là 20,9%."
,"Có sự khác biệt có ý nghĩa thống kê về tỷ lệ bệnh lý võng mạc ở trẻ sinh non giữa tuổi thai thấp, cân nặng lúc sinh cực thấp, truyền máu sớm, nhiễm khuẩn huyết và xuất huyết não thất."
,Kết quả bước đầu điều trị gãy xương bánh chè di lệch bằng kỹ thuật ít xâm lấn
,"Đánh giá lý thuyết quản lý triệu chứng, áp dụng lý thuyết vào thực hành lâm sàng của điều dưỡng, từ đó nâng cao nhận thức của điều dưỡng Việt Nam về lý thuyết và áp dụng lý thuyết vào thực hành, thực hành đã được chứng minh."
,"Phương pháp nghiên cứu: Tìm kiếm, nghiên cứu ứng dụng lý thuyết quản lý triệu chứng, chứng minh khả năng ứng dụng lý thuyết trong thực hành lâm sàng của điều dưỡng."
,"Kết quả: Điều dưỡng bước đầu đã thực hiện tốt công tác quản lý triệu chứng trên người bệnh dựa trên việc áp dụng lý thuyết quản lý triệu chứng, đồng thời nâng cao trải nghiệm của người bệnh, nâng cao chất lượng chăm sóc."
,"Khuyến nghị: Cần có chiến lược phù hợp để nâng cao kiến thức, thái độ và kỹ năng thực hành của điều dưỡng dựa trên bằng chứng tại Việt Nam; bước đầu tiên là khuyến khích việc áp dụng các lý thuyết và nghiên cứu vào thực hành chăm sóc người bệnh nhằm nâng cao chất lượng chăm sóc người bệnh."
,"Điều trị bệnh nhân tăng huyết áp tại phường Hồng Hà, thành phố Hạ Long, Quảng Ninh, năm 2021"
,Đánh giá kết quả bước đầu phẫu thuật nội soi và phẫu thuật nội soi hỗ trợ nắn chỉnh và cố định (ARIF) trong điều trị gãy xương bánh chè di lệch.
,Đối tượng và phương pháp: Nghiên cứu tiến cứu.
,"Từ tháng 01/2021 đến tháng 08/2022, có 5 bệnh nhân (2 nam, 3 nữ, tuổi trung bình 52) gãy xương bánh chè di lệch được điều trị ARIF tại thời điểm theo dõi 12 tháng."
,Kết quả: Tất cả bệnh nhân đều đạt kết quả tốt và tốt dựa vào thang điểm Lysholm (75-95) và ROM khớp gối (135 o-155 o).
,Kết luận: ARIF có sẵn và cho kết quả tốt trong điều trị gãy xương bánh chè di lệch.
,Các yếu tố liên quan đến stress của bà mẹ tại khoa hồi sức tích cực bệnh viện nhi đồng 1
,"Mô tả thực trạng quản lý điều trị bệnh nhân tăng huyết áp và một số yếu tố liên quan tại phường Hồng Hà, thành phố Hạ Long, Quảng Ninh, năm 2021."
,"Trong tổng số bệnh nhân THA được quản lý, 88,4% bệnh nhân được quản lý hiệu quả."
,"Mô hình hồi quy đa biến cho thấy có mối liên quan giữa hiệu quả quản lý tăng huyết áp với tuổi 70-79 (aOR  8,00) và  70 tuổi (aOR  6,80), thời gian điều trị > 5 năm (aOR  3,09), không có bệnh lý kèm theo (aOR  3,21), không hút thuốc lá (aOR  11,91), hoạt động thể lực (aOR  11,91)."
,Cần chú ý quản lý bệnh nhân có tình trạng quản lý điều trị hiệu quả thấp hơn.
,Theo dõi biến cố bất lợi liên quan đến điều trị dapagliflozin ở bệnh nhân đái tháo đường type 2: Chương trình giám sát sau thương mại tại Việt Nam
,"Xác định mức độ stress của mẹ bệnh nhi tại khoa Hồi sức tích cực, bệnh viện Nhi Đồng 1 và các yếu tố liên quan."
,"Các bà mẹ có con điều trị tại khoa Hồi sức tích cực, bệnh viện Nhi Đồng 1, trong thời gian nghiên cứu có mức độ stress thấp."
,Mức độ hỗ trợ xã hội là yếu tố bảo vệ bà mẹ khỏi căng thẳng.
,Đánh giá stress nên là bước đầu tiên trong mục tiêu chăm sóc tâm lý cho các bà mẹ khi trẻ được điều trị tại khoa hồi sức tích cực.
,"Nghiên cứu mô tả cắt ngang với sự tham gia của 70 bà mẹ có con đang điều trị tại Khoa Hồi sức tích cực, Bệnh viện Nhi Đồng 1 từ tháng 5/2022 đến tháng 8/2022."
,Số liệu được thu thập bằng bộ câu hỏi tự điền.
,"Mức độ stress trung bình của các bà mẹ trong nghiên cứu là 1,11 (SD 0,32)."
,"Sự thay đổi về thời gian / công việc là yếu tố gây stress nhiều nhất với mức độ stress trung bình là 3,75 (SD 0,96)."
,Có mối liên quan giữa mức độ hỗ trợ xã hội với tình trạng stress của bà mẹ.
,"Không có mối liên quan giữa mức độ stress của mẹ với tuổi của mẹ, trình độ học vấn và thu nhập của mẹ, tuổi và số lần nhập viện của trẻ."
,"Sự hài lòng của nhân viên làm việc tại Trung tâm Kiểm soát bệnh tật Kiên Giang và một số yếu tố liên quan, năm 2021"
,"Để cung cấp thêm bằng chứng về tính an toàn của dapagliflozin (ForxigaTM) trong môi trường thực tế, 8 bệnh viện trên thế giới đã tham gia triển khai chương trình giám sát sau marketing."
,"Trong số 1001 đối tượng nghiên cứu, có 278 bệnh nhân (27,8%) gặp ít nhất 1 biến cố bất lợi (AE) trong 24 tuần theo dõi, 5 trong số đó (0,5%) gặp biến cố bất lợi nghiêm trọng (SAE) và 29 (2,9%) phải chuyển đổi điều trị dapagliflozin."
,"Viêm khớp (2,4%) và tăng men gan (2,4%) là phổ biến nhất, tiếp theo là nhiễm khuẩn đường tiết niệu (1,9%)."
,"Tuy nhiên, chỉ có 120 (12,0%) trường hợp có biến cố bất lợi liên quan đến dapagliflozin."
,Kết quả cho thấy dapagliflozin dung nạp tốt ở bệnh nhân đái tháo đường type 2 người Việt Nam trưởng thành.
,"Bên cạnh các cơ sở dữ liệu báo cáo ADR tự phát, nghiên cứu này cung cấp thêm dữ liệu và không tìm thấy bất kỳ nguy cơ mới hoặc đáng kể nào của dapagliflozin (Forxiga), hỗ trợ hồ sơ an toàn cho người sử dụng trong tương lai tại Việt Nam."
,"Thực trạng khám chữa bệnh và quản lý chăm sóc sức khoẻ người cao tuổi tại 2 xã huyện Triệu Sơn, tỉnh Thanh Hoá năm 2017"
,"Từ tháng 01/2017 đến tháng 06/2017, chúng tôi nghiên cứu thực trạng khám chữa bệnh ở người cao tuổi và nhân viên y tế và nhân viên y tế tại 2 xã huyện Triệu Sơn, tỉnh Thanh Hoá, chúng tôi thu được kết quả: Tỷ lệ người cao tuổi được lựa chọn bệnh viện tuyến huyện có mức độ chăm sóc sức khoẻ cao nhất (45,6%), tuyến y tế là 39,9%, tuyến trung ương là 0,1%."
,"Tỷ lệ người cao tuổi có BHYT là 76,5%, trong đó người cao tuổi có BHYT tự nguyện là 15,9% và chính sách BHYT là 84,1%."
,"Tỷ lệ người cao tuổi khám sức khoẻ định kỳ là 14,1%."
,Kết quả can thiệp nội mạch lấy huyết khối trong vòng 6 đến 24 giờ ở bệnh nhân nhồi máu não cấp đủ tiêu chuẩn
,Nghiên cứu mô tả cắt ngang được tiến hành trên 200 nhân viên làm việc tại Trung tâm Kiểm soát và Phòng ngừa Dịch bệnh Kiên Giang từ tháng 01/2021 đến tháng 06/2021 nhằm đánh giá sự hài lòng của họ đối với công việc và xác định một số yếu tố liên quan.
,Kết quả nghiên cứu cho thấy tỷ lệ hài lòng của nhân viên với các khía cạnh khác nhau của công việc đều cao (> 75%).
,"Tỷ lệ hài lòng về mối quan hệ giữa công nhân và người lao động là cao nhất (86%) và tỷ lệ hài lòng về cơ chế quản lý là thấp nhất (75,5%)."
,"Tỷ lệ hài lòng chung của nhân viên (đáp ứng với tất cả các yếu tố) là 76,5%."
,"Một số yếu tố liên quan đến sự hài lòng của nhân viên là giới tính, thâm niên công tác và loại hình công việc (p  0,05)."
,Kết quả điều trị ung thư biểu mô ống tuyến vú tại bệnh viện K
,Đánh giá tính an toàn và hiệu quả của phương pháp lấy huyết khối bằng dụng cụ cơ học ở bệnh nhân đột quỵ tuần hoàn trước được điều trị từ 6 đến 24 giờ.
,Đối tượng và phương pháp: Chúng tôi tiến hành nghiên cứu tiến cứu các bệnh nhân đột quỵ thiếu máu não cấp liên tiếp được điều trị nội mạch từ 6 đến 24 giờ sau lần theo dõi cuối cùng.
,"Tất cả các bệnh nhân đều được xác định tắc động mạch não giữa hoặc động mạch cảnh trong bằng CTA hoặc MRA, đáp ứng các tiêu chuẩn DAWN hoặc DEFUSE-3."
,"Kết cục chính là tình trạng khuyết tật chức năng vào ngày 90, được đo lường theo thang điểm Rankin sửa đổi (mRS)."
,Kết quả: Có 80 bệnh nhân được đưa vào nghiên cứu từ tháng 1/2021 đến tháng 5/2021 tại Bệnh viện Nhân dân 115.
,"Tại thời điểm 90 ngày, tỷ lệ độc lập về chức năng (mRS từ 0 đến 2) là 51,2%, tỷ lệ tử vong là 12,5%."
,"Tái thông thành công (TICI 2b hoặc 3) là 96,2%."
,Chảy máu nội sọ có triệu chứng được báo cáo ở 4 bệnh nhân (5%).
,Kết luận: Sự an toàn và hiệu quả của phương pháp lấy huyết khối qua cửa sổ mở rộng ở những bệnh nhân lái xe muộn có hồ sơ không phù hợp mục tiêu hỗ trợ việc sử dụng liệu pháp can thiệp nội mạch trong nhóm bệnh nhân này tại Việt Nam.
,Liệu pháp điều hoà quang học và liệu pháp quang động học kháng virus là những phương thức điều trị tiềm năng cho COVID-19
,"Kết luận: Điều trị ung thư biểu mô tuyến vú tại chỗ bao gồm phẫu thuật, xạ trị và nội tiết mang lại kết quả tốt, ít biến chứng, và cần theo dõi lâu dài để đánh giá tái phát và di căn."
,"Kích thước u  25mm chiếm 83,3%."
,"DCIS độ trung bình chiếm 52,6%; tỷ lệ thụ thể estrogen dương tính là 55,1%."
,"Tỷ lệ phẫu thuật cắt bỏ và bảo tồn tuyến vú lần lượt là 83,3% và 16,7%."
,"Tỷ lệ bệnh nhân được điều trị nội tiết là 55,1%, xạ trị bổ trợ là 15,4%."
,Điều trị rối loạn sự thích ứng với phản ứng trầm cảm ngắn
,Bệnh COVID-19 là một bệnh truyền nhiễm nguy hiểm do vi rút SARS-CoV -2 gây ra và hiện đang là đại dịch trên thế giới và tại Việt Nam.
,"Trong chiến lược kiểm soát bệnh này, vai trò của điều trị khi bị nhiễm trùng là rất quan trọng."
,Liệu pháp quang động học kháng virus và điều hoà quang động học là một hướng điều trị mới trong điều trị bệnh nhân COVID-19.
,Hướng điều trị kết hợp điều hoà quang học và điều hoà quang học kháng virus với việc sử dụng thuốc thông thường cho thấy tiềm năng cao cũng như hứa hẹn rất lớn của các phương pháp mới trong điều trị bệnh nhân COVID-19.
,Kết quả bước đầu phẫu thuật một thì điều trị tắc nghẽn cung động mạch chủ - thông liên thất kèm tắc nghẽn đường ra thất trái tại Bệnh viện Nhi Trung ương
,Nghiên cứu nhằm mô tả điều trị rối loạn sự thích ứng với phản ứng trầm cảm ngắn.
,"Đây là một nghiên cứu cắt ngang quan sát điều trị 66 bệnh nhân tại Viện Sức khoẻ Tâm thần Quốc gia, Bệnh viện Bạch Mai, được chẩn đoán rối loạn sự thích ứng với phản ứng trầm cảm ngắn (F 43.20) cần nhập viện."
,"Kết quả cho thấy trong số các thuốc chống trầm cảm được sử dụng để điều trị, Amitriptylin là thuốc được sử dụng nhiều nhất với liều khởi đầu là 40,3  23,9 mg / ngày và liều cao nhất là 75,0  35,4 mg / ngày."
,"Tiếp theo là Remeron với liều khởi đầu là 30,0  13,6 mg / ngày và liều tối đa là 47,6  14,8."
,"Tác dụng phụ thường gặp nhất của thuốc chống trầm cảm là khô miệng (62,1%)."
,Hiệu quả lâm sàng của hàn bioceramic: tổng quan tài liệu
,"Đánh giá kết quả sớm của phẫu thuật sửa chữa hai thất một thì, bao gồm tái tạo cung động mạch chủ, đóng thông liên thất và giải phóng tắc nghẽn đường ra thất trái."
,"Có 2 trường hợp tử vong sớm (4,7%) và 1 trường hợp tử vong muộn (2,3%), và tử vong chung là 7%."
,"Có 2 bệnh nhân (5%) phải mổ lại do tắc nghẽn đường ra thất trái tái phát trong thời gian theo dõi và 1 bệnh nhân (2,5%) cần nong van động mạch chủ trong thời gian theo dõi 1,5 năm (IQR, 0,6-4)."
,"Thời gian sống thêm toàn bộ và thời gian sống thêm không mổ lần lượt là 88,5% và 88,5%."
,"Đối tượng và phương pháp nghiên cứu: Từ tháng 12/2013 đến tháng 10/2020, tất cả các bệnh nhân được chẩn đoán tắc nghẽn cung động mạch chủ, thông liên thất và tắc đường ra thất trái được phẫu thuật sửa chữa hai thất một thì được hồi cứu."
,Kết quả: Có 43 bệnh nhân được phẫu thuật một thì kết hợp giải phóng bế tắc đường ra thất trái.
,"Tuổi trung vị là 37 ngày (IQR, 22-62), cân nặng trung vị là 3,7 kg (IQR, 3,2-4,1)."
,"Có 29 nam (67,4%) và 14 nữ."
,"Thời gian kẹp động mạch chủ trung bình là 98,7  26,3 phút, thời gian chạy máy trung bình là 135,6  41,5 phút, thời gian tưới máu não vùng trung bình là 32  11,2 phút."
,"Có 18 bệnh nhân (41,9%) được cắt vách liên thất và 25 bệnh nhân được khâu lỗ thông liên thất vào bên trái vách liên thất, nhằm giải phóng tắc nghẽn đường ra thất trái."
